=== Chai Page Fault Study (nsys) ===
Host: 209-20-156-92
Date: Wed Jan 28 16:09:03 UTC 2026
GPU: NVIDIA H100 PCIe
CUDA: Cuda compilation tools, release 12.8, V12.8.93
  HSTI: threads=32, gpu_blocks=16, partition=0.5
  HSTI: threads=32, gpu_blocks=16, partition=0.75
  HSTI: threads=32, gpu_blocks=16, partition=0.9
  HSTI: threads=32, gpu_blocks=16, partition=1.0
  HSTI: threads=32, gpu_blocks=32, partition=0.0
  HSTI: threads=32, gpu_blocks=32, partition=0.1
  HSTI: threads=32, gpu_blocks=32, partition=0.25
  HSTI: threads=32, gpu_blocks=32, partition=0.5
  HSTI: threads=32, gpu_blocks=32, partition=0.75
  HSTI: threads=32, gpu_blocks=32, partition=0.9
  HSTI: threads=32, gpu_blocks=32, partition=1.0
  HSTI: threads=32, gpu_blocks=64, partition=0.0
  HSTI: threads=32, gpu_blocks=64, partition=0.1
  HSTI: threads=32, gpu_blocks=64, partition=0.25
  HSTI: threads=32, gpu_blocks=64, partition=0.5
  HSTI: threads=32, gpu_blocks=64, partition=0.75
  HSTI: threads=32, gpu_blocks=64, partition=0.9
  HSTI: threads=32, gpu_blocks=64, partition=1.0
  HSTI: threads=64, gpu_blocks=8, partition=0.0
  HSTI: threads=64, gpu_blocks=8, partition=0.1
  HSTI: threads=64, gpu_blocks=8, partition=0.25
  HSTI: threads=64, gpu_blocks=8, partition=0.5
  HSTI: threads=64, gpu_blocks=8, partition=0.75
  HSTI: threads=64, gpu_blocks=8, partition=0.9
  HSTI: threads=64, gpu_blocks=8, partition=1.0
  HSTI: threads=64, gpu_blocks=16, partition=0.0
  HSTI: threads=64, gpu_blocks=16, partition=0.1
  HSTI: threads=64, gpu_blocks=16, partition=0.25
  HSTI: threads=64, gpu_blocks=16, partition=0.5
  HSTI: threads=64, gpu_blocks=16, partition=0.75
  HSTI: threads=64, gpu_blocks=16, partition=0.9
  HSTI: threads=64, gpu_blocks=16, partition=1.0
  HSTI: threads=64, gpu_blocks=32, partition=0.0
  HSTI: threads=64, gpu_blocks=32, partition=0.1
  HSTI: threads=64, gpu_blocks=32, partition=0.25
  HSTI: threads=64, gpu_blocks=32, partition=0.5
  HSTI: threads=64, gpu_blocks=32, partition=0.75
  HSTI: threads=64, gpu_blocks=32, partition=0.9
  HSTI: threads=64, gpu_blocks=32, partition=1.0
  HSTI: threads=64, gpu_blocks=64, partition=0.0
  HSTI: threads=64, gpu_blocks=64, partition=0.1
  HSTI: threads=64, gpu_blocks=64, partition=0.25
  HSTI: threads=64, gpu_blocks=64, partition=0.5
  HSTI: threads=64, gpu_blocks=64, partition=0.75
  HSTI: threads=64, gpu_blocks=64, partition=0.9
  HSTI: threads=64, gpu_blocks=64, partition=1.0
  Raw nsys reports saved to /home/ubuntu/rajesh-fs-utah/chai/CUDA-U/h100_pf
=== Running HSTO (with partition + GPU blocks sweep) ===
  HSTO: threads=1, gpu_blocks=8, partition=0.0
  HSTO: threads=1, gpu_blocks=8, partition=0.1
  HSTO: threads=1, gpu_blocks=8, partition=0.25
  HSTO: threads=1, gpu_blocks=8, partition=0.5
  HSTO: threads=1, gpu_blocks=8, partition=0.75
  HSTO: threads=1, gpu_blocks=8, partition=0.9
  HSTO: threads=1, gpu_blocks=8, partition=1.0
  HSTO: threads=1, gpu_blocks=16, partition=0.0
  HSTO: threads=1, gpu_blocks=16, partition=0.1
  HSTO: threads=1, gpu_blocks=16, partition=0.25
  HSTO: threads=1, gpu_blocks=16, partition=0.5
  HSTO: threads=1, gpu_blocks=16, partition=0.75
  HSTO: threads=1, gpu_blocks=16, partition=0.9
  HSTO: threads=1, gpu_blocks=16, partition=1.0
  HSTO: threads=1, gpu_blocks=32, partition=0.0
  HSTO: threads=1, gpu_blocks=32, partition=0.1
  HSTO: threads=1, gpu_blocks=32, partition=0.25
  HSTO: threads=1, gpu_blocks=32, partition=0.5
  HSTO: threads=1, gpu_blocks=32, partition=0.75
  HSTO: threads=1, gpu_blocks=32, partition=0.9
  HSTO: threads=1, gpu_blocks=32, partition=1.0
  HSTO: threads=1, gpu_blocks=64, partition=0.0
  HSTO: threads=1, gpu_blocks=64, partition=0.1
  HSTO: threads=1, gpu_blocks=64, partition=0.25
  HSTO: threads=1, gpu_blocks=64, partition=0.5
  HSTO: threads=1, gpu_blocks=64, partition=0.75
  HSTO: threads=1, gpu_blocks=64, partition=0.9
  HSTO: threads=1, gpu_blocks=64, partition=1.0
  HSTO: threads=4, gpu_blocks=8, partition=0.0
  HSTO: threads=4, gpu_blocks=8, partition=0.1
  HSTO: threads=4, gpu_blocks=8, partition=0.25
  HSTO: threads=4, gpu_blocks=8, partition=0.5
  HSTO: threads=4, gpu_blocks=8, partition=0.75
  HSTO: threads=4, gpu_blocks=8, partition=0.9
  HSTO: threads=4, gpu_blocks=8, partition=1.0
  HSTO: threads=4, gpu_blocks=16, partition=0.0
  HSTO: threads=4, gpu_blocks=16, partition=0.1
  HSTO: threads=4, gpu_blocks=16, partition=0.25
  HSTO: threads=4, gpu_blocks=16, partition=0.5
  HSTO: threads=4, gpu_blocks=16, partition=0.75
  HSTO: threads=4, gpu_blocks=16, partition=0.9
  HSTO: threads=4, gpu_blocks=16, partition=1.0
  HSTO: threads=4, gpu_blocks=32, partition=0.0
  HSTO: threads=4, gpu_blocks=32, partition=0.1
  HSTO: threads=4, gpu_blocks=32, partition=0.25
  HSTO: threads=4, gpu_blocks=32, partition=0.5
  HSTO: threads=4, gpu_blocks=32, partition=0.75
  HSTO: threads=4, gpu_blocks=32, partition=0.9
  HSTO: threads=4, gpu_blocks=32, partition=1.0
  HSTO: threads=4, gpu_blocks=64, partition=0.0
  HSTO: threads=4, gpu_blocks=64, partition=0.1
  HSTO: threads=4, gpu_blocks=64, partition=0.25
  HSTO: threads=4, gpu_blocks=64, partition=0.5
  HSTO: threads=4, gpu_blocks=64, partition=0.75
  HSTO: threads=4, gpu_blocks=64, partition=0.9
  HSTO: threads=4, gpu_blocks=64, partition=1.0
  HSTO: threads=16, gpu_blocks=8, partition=0.0
  HSTO: threads=16, gpu_blocks=8, partition=0.1
  HSTO: threads=16, gpu_blocks=8, partition=0.25
  HSTO: threads=16, gpu_blocks=8, partition=0.5
  HSTO: threads=16, gpu_blocks=8, partition=0.75
  HSTO: threads=16, gpu_blocks=8, partition=0.9
  HSTO: threads=16, gpu_blocks=8, partition=1.0
  HSTO: threads=16, gpu_blocks=16, partition=0.0
  HSTO: threads=16, gpu_blocks=16, partition=0.1
  HSTO: threads=16, gpu_blocks=16, partition=0.25
  HSTO: threads=16, gpu_blocks=16, partition=0.5
  HSTO: threads=16, gpu_blocks=16, partition=0.75
  HSTO: threads=16, gpu_blocks=16, partition=0.9
  HSTO: threads=16, gpu_blocks=16, partition=1.0
  HSTO: threads=16, gpu_blocks=32, partition=0.0
  HSTO: threads=16, gpu_blocks=32, partition=0.1
  HSTO: threads=16, gpu_blocks=32, partition=0.25
  HSTO: threads=16, gpu_blocks=32, partition=0.5
  HSTO: threads=16, gpu_blocks=32, partition=0.75
  HSTO: threads=16, gpu_blocks=32, partition=0.9
  HSTO: threads=16, gpu_blocks=32, partition=1.0
  HSTO: threads=16, gpu_blocks=64, partition=0.0
  HSTO: threads=16, gpu_blocks=64, partition=0.1
  HSTO: threads=16, gpu_blocks=64, partition=0.25
  HSTO: threads=16, gpu_blocks=64, partition=0.5
  HSTO: threads=16, gpu_blocks=64, partition=0.75
  HSTO: threads=16, gpu_blocks=64, partition=0.9
  HSTO: threads=16, gpu_blocks=64, partition=1.0
  HSTO: threads=32, gpu_blocks=8, partition=0.0
  HSTO: threads=32, gpu_blocks=8, partition=0.1
  HSTO: threads=32, gpu_blocks=8, partition=0.25
  HSTO: threads=32, gpu_blocks=8, partition=0.5
  HSTO: threads=32, gpu_blocks=8, partition=0.75
  HSTO: threads=32, gpu_blocks=8, partition=0.9
  HSTO: threads=32, gpu_blocks=8, partition=1.0
  HSTO: threads=32, gpu_blocks=16, partition=0.0
  HSTO: threads=32, gpu_blocks=16, partition=0.1
  HSTO: threads=32, gpu_blocks=16, partition=0.25
  HSTO: threads=32, gpu_blocks=16, partition=0.5
  HSTO: threads=32, gpu_blocks=16, partition=0.75
  HSTO: threads=32, gpu_blocks=16, partition=0.9
  HSTO: threads=32, gpu_blocks=16, partition=1.0
  HSTO: threads=32, gpu_blocks=32, partition=0.0
  HSTO: threads=32, gpu_blocks=32, partition=0.1
  HSTO: threads=32, gpu_blocks=32, partition=0.25
  HSTO: threads=32, gpu_blocks=32, partition=0.5
  HSTO: threads=32, gpu_blocks=32, partition=0.75
  HSTO: threads=32, gpu_blocks=32, partition=0.9
  HSTO: threads=32, gpu_blocks=32, partition=1.0
  HSTO: threads=32, gpu_blocks=64, partition=0.0
  HSTO: threads=32, gpu_blocks=64, partition=0.1
  HSTO: threads=32, gpu_blocks=64, partition=0.25
  HSTO: threads=32, gpu_blocks=64, partition=0.5
  HSTO: threads=32, gpu_blocks=64, partition=0.75
  HSTO: threads=32, gpu_blocks=64, partition=0.9
  HSTO: threads=32, gpu_blocks=64, partition=1.0
